Number of users: 138493, number of movies: 26744
Built matching inputs: A shape (26744, 138493), C shape (26744, 138493)
b_vec shape: (26746,)
iter=68 | dual_objective=-275842.9375 | dual_grad_norm=49225.84765625 | reg_penalty=712.0800170898438 | dual_val_times_grad=172674.46875 | max_pos_slack=34648.42578125 | sum_pos_slack=57869.921875
iter=69 | dual_objective=-276063.125 | dual_grad_norm=39458.44140625 | reg_penalty=363.9983825683594 | dual_val_times_grad=-138931.25 | max_pos_slack=27695.818359375 | sum_pos_slack=28317.9609375
iter=70 | dual_objective=-275609.5625 | dual_grad_norm=16542.767578125 | reg_penalty=491.5253601074219 | dual_val_times_grad=56008.7265625 | max_pos_slack=11220.5595703125 | sum_pos_slack=19169.16796875
iter=71 | dual_objective=-275664.3125 | dual_grad_norm=33609.50390625 | reg_penalty=366.5148620605469 | dual_val_times_grad=-117634.0 | max_pos_slack=23526.009765625 | sum_pos_slack=24136.25
iter=72 | dual_objective=-276327.1875 | dual_grad_norm=68471.1484375 | reg_penalty=911.6458129882812 | dual_val_times_grad=240287.203125 | max_pos_slack=48299.27734375 | sum_pos_slack=82529.5703125
iter=73 | dual_objective=-275822.78125 | dual_grad_norm=39463.03125 | reg_penalty=366.01947021484375 | dual_val_times_grad=-138676.546875 | max_pos_slack=27699.11328125 | sum_pos_slack=28298.65234375
iter=74 | dual_objective=-275601.34375 | dual_grad_norm=16086.138671875 | reg_penalty=492.1576232910156 | dual_val_times_grad=54324.85546875 | max_pos_slack=10883.7548828125 | sum_pos_slack=18533.2890625
iter=75 | dual_objective=-275641.3125 | dual_grad_norm=31859.31640625 | reg_penalty=369.3910827636719 | dual_val_times_grad=-111381.484375 | max_pos_slack=22275.791015625 | sum_pos_slack=22865.31640625
iter=76 | dual_objective=-275809.25 | dual_grad_norm=45366.89453125 | reg_penalty=688.28076171875 | dual_val_times_grad=159038.921875 | max_pos_slack=31906.94140625 | sum_pos_slack=52652.5703125
iter=77 | dual_objective=-275757.375 | dual_grad_norm=39461.046875 | reg_penalty=367.7272644042969 | dual_val_times_grad=-138619.765625 | max_pos_slack=27697.72265625 | sum_pos_slack=28278.109375
iter=78 | dual_objective=-275712.625 | dual_grad_norm=33836.7890625 | reg_penalty=601.2811889648438 | dual_val_times_grad=118189.546875 | max_pos_slack=23696.30859375 | sum_pos_slack=38629.0234375
iter=79 | dual_objective=-275730.90625 | dual_grad_norm=39462.96875 | reg_penalty=368.4756774902344 | dual_val_times_grad=-138587.125 | max_pos_slack=27699.1015625 | sum_pos_slack=28270.953125
iter=80 | dual_objective=-275770.1875 | dual_grad_norm=42779.8828125 | reg_penalty=670.4201049804688 | dual_val_times_grad=149890.296875 | max_pos_slack=30067.63671875 | sum_pos_slack=49305.1953125
iter=81 | dual_objective=-275739.53125 | dual_grad_norm=39462.4375 | reg_penalty=369.15814208984375 | dual_val_times_grad=-138598.3125 | max_pos_slack=27698.734375 | sum_pos_slack=28262.611328125
iter=82 | dual_objective=-275686.9375 | dual_grad_norm=35530.07421875 | reg_penalty=615.9786376953125 | dual_val_times_grad=124202.2890625 | max_pos_slack=24904.69921875 | sum_pos_slack=40446.4921875
iter=83 | dual_objective=-275706.25 | dual_grad_norm=39463.09375 | reg_penalty=369.7920837402344 | dual_val_times_grad=-138563.265625 | max_pos_slack=27699.2109375 | sum_pos_slack=28255.568359375
iter=84 | dual_objective=-275759.5625 | dual_grad_norm=42412.27734375 | reg_penalty=670.1981811523438 | dual_val_times_grad=148586.953125 | max_pos_slack=29806.296875 | sum_pos_slack=48674.1328125
iter=85 | dual_objective=-275665.0 | dual_grad_norm=36663.92578125 | reg_penalty=370.74462890625 | dual_val_times_grad=-128545.4296875 | max_pos_slack=25705.06640625 | sum_pos_slack=26254.341796875
iter=86 | dual_objective=-275727.125 | dual_grad_norm=36744.4140625 | reg_penalty=627.2681274414062 | dual_val_times_grad=128509.734375 | max_pos_slack=25770.69921875 | sum_pos_slack=41716.39453125
iter=87 | dual_objective=-275652.0625 | dual_grad_norm=38880.0234375 | reg_penalty=370.9286193847656 | dual_val_times_grad=-136448.625 | max_pos_slack=27284.025390625 | sum_pos_slack=27826.595703125
iter=88 | dual_objective=-275732.125 | dual_grad_norm=38054.98046875 | reg_penalty=638.1390991210938 | dual_val_times_grad=133156.453125 | max_pos_slack=26704.697265625 | sum_pos_slack=43190.15234375
iter=89 | dual_objective=-275604.8125 | dual_grad_norm=27633.779296875 | reg_penalty=377.56805419921875 | dual_val_times_grad=-96253.6484375 | max_pos_slack=19250.5546875 | sum_pos_slack=19786.763671875
iter=90 | dual_objective=-275652.5 | dual_grad_norm=23398.53125 | reg_penalty=540.855712890625 | dual_val_times_grad=80892.5390625 | max_pos_slack=16212.45703125 | sum_pos_slack=26093.177734375
iter=91 | dual_objective=-275630.78125 | dual_grad_norm=24996.876953125 | reg_penalty=381.09930419921875 | dual_val_times_grad=-86777.7734375 | max_pos_slack=17355.990234375 | sum_pos_slack=17886.103515625
iter=92 | dual_objective=-275631.8125 | dual_grad_norm=23685.109375 | reg_penalty=543.3251953125 | dual_val_times_grad=81922.8828125 | max_pos_slack=16419.291015625 | sum_pos_slack=26333.779296875
iter=93 | dual_objective=-275622.375 | dual_grad_norm=22433.95703125 | reg_penalty=385.1007385253906 | dual_val_times_grad=-77533.6015625 | max_pos_slack=15507.5517578125 | sum_pos_slack=16031.8662109375
iter=94 | dual_objective=-275600.21875 | dual_grad_norm=21344.509765625 | reg_penalty=530.4242553710938 | dual_val_times_grad=73486.90625 | max_pos_slack=14727.4912109375 | sum_pos_slack=23622.728515625
iter=95 | dual_objective=-275600.21875 | dual_grad_norm=20590.900390625 | reg_penalty=388.45220947265625 | dual_val_times_grad=-70857.59375 | max_pos_slack=14172.4912109375 | sum_pos_slack=14691.236328125
iter=96 | dual_objective=-275603.0 | dual_grad_norm=19755.0859375 | reg_penalty=522.1907348632812 | dual_val_times_grad=67731.140625 | max_pos_slack=13573.4736328125 | sum_pos_slack=21779.06640625
iter=97 | dual_objective=-275603.5625 | dual_grad_norm=19097.998046875 | reg_penalty=391.4726257324219 | dual_val_times_grad=-65426.80078125 | max_pos_slack=13086.35546875 | sum_pos_slack=13599.744140625
iter=98 | dual_objective=-275607.25 | dual_grad_norm=18415.953125 | reg_penalty=515.4921264648438 | dual_val_times_grad=62859.87109375 | max_pos_slack=12596.9384765625 | sum_pos_slack=20220.111328125
iter=99 | dual_objective=-275606.34375 | dual_grad_norm=17848.337890625 | reg_penalty=394.2151184082031 | dual_val_times_grad=-60860.48828125 | max_pos_slack=12173.0537109375 | sum_pos_slack=12681.283203125
iter=100 | dual_objective=-275604.40625 | dual_grad_norm=17262.103515625 | reg_penalty=509.8634948730469 | dual_val_times_grad=58642.69140625 | max_pos_slack=11751.62109375 | sum_pos_slack=18871.455078125
iter=101 | dual_objective=-275587.28125 | dual_grad_norm=16777.58984375 | reg_penalty=396.725830078125 | dual_val_times_grad=-56929.49609375 | max_pos_slack=11386.7783203125 | sum_pos_slack=11889.998046875
iter=102 | dual_objective=-275582.4375 | dual_grad_norm=16274.8447265625 | reg_penalty=505.11376953125 | dual_val_times_grad=55016.52734375 | max_pos_slack=11024.8251953125 | sum_pos_slack=17704.388671875
iter=103 | dual_objective=-275604.78125 | dual_grad_norm=22321.646484375 | reg_penalty=387.2212219238281 | dual_val_times_grad=-77129.8359375 | max_pos_slack=15426.498046875 | sum_pos_slack=15924.8251953125
iter=104 | dual_objective=-275669.8125 | dual_grad_norm=32330.240234375 | reg_penalty=601.753662109375 | dual_val_times_grad=112824.25 | max_pos_slack=22621.30078125 | sum_pos_slack=35848.1796875
iter=105 | dual_objective=-275594.65625 | dual_grad_norm=13749.2158203125 | reg_penalty=404.1269836425781 | dual_val_times_grad=-45678.69140625 | max_pos_slack=9136.2451171875 | sum_pos_slack=9645.5078125
iter=106 | dual_objective=-275587.0625 | dual_grad_norm=6418.5361328125 | reg_penalty=456.710693359375 | dual_val_times_grad=15514.6513671875 | max_pos_slack=3111.082275390625 | sum_pos_slack=6207.8427734375
iter=107 | dual_objective=-275566.875 | dual_grad_norm=7083.61328125 | reg_penalty=424.0640563964844 | dual_val_times_grad=-18789.416015625 | max_pos_slack=3756.09521484375 | sum_pos_slack=4773.18603515625
iter=108 | dual_objective=-275571.125 | dual_grad_norm=5654.966796875 | reg_penalty=452.4051818847656 | dual_val_times_grad=11217.3720703125 | max_pos_slack=2250.581298828125 | sum_pos_slack=4954.64453125
iter=109 | dual_objective=-275579.625 | dual_grad_norm=5276.70751953125 | reg_penalty=433.1463928222656 | dual_val_times_grad=-8624.8095703125 | max_pos_slack=1721.69921875 | sum_pos_slack=3139.9658203125
iter=110 | dual_objective=-275589.03125 | dual_grad_norm=4942.37255859375 | reg_penalty=446.9435729980469 | dual_val_times_grad=5633.22998046875 | max_pos_slack=1132.49365234375 | sum_pos_slack=3369.74267578125
iter=111 | dual_objective=-275557.59375 | dual_grad_norm=4812.77197265625 | reg_penalty=437.66900634765625 | dual_val_times_grad=-4002.5205078125 | max_pos_slack=796.4574584960938 | sum_pos_slack=2394.36083984375
iter=112 | dual_objective=-275565.03125 | dual_grad_norm=4739.4482421875 | reg_penalty=444.234619140625 | dual_val_times_grad=2699.052490234375 | max_pos_slack=545.029541015625 | sum_pos_slack=2508.74072265625
iter=113 | dual_objective=-275595.125 | dual_grad_norm=4710.07177734375 | reg_penalty=439.8528747558594 | dual_val_times_grad=-1964.51806640625 | max_pos_slack=388.5028991699219 | sum_pos_slack=2029.756103515625
iter=114 | dual_objective=-275586.5 | dual_grad_norm=4692.60400390625 | reg_penalty=443.1400451660156 | dual_val_times_grad=1350.0751953125 | max_pos_slack=274.93719482421875 | sum_pos_slack=2075.689208984375
iter=115 | dual_objective=-275564.4375 | dual_grad_norm=4684.74560546875 | reg_penalty=440.9920349121094 | dual_val_times_grad=-963.458984375 | max_pos_slack=188.13270568847656 | sum_pos_slack=1809.779296875
iter=116 | dual_objective=-275581.875 | dual_grad_norm=4680.02392578125 | reg_penalty=442.6228942871094 | dual_val_times_grad=628.9898681640625 | max_pos_slack=130.54417419433594 | sum_pos_slack=1807.948974609375
iter=117 | dual_objective=-275563.3125 | dual_grad_norm=4678.283203125 | reg_penalty=441.6434631347656 | dual_val_times_grad=-462.0328674316406 | max_pos_slack=87.79136657714844 | sum_pos_slack=1660.6622314453125
iter=118 | dual_objective=-275579.75 | dual_grad_norm=4676.91162109375 | reg_penalty=442.436767578125 | dual_val_times_grad=271.4610290527344 | max_pos_slack=58.92494583129883 | sum_pos_slack=1635.9814453125
iter=119 | dual_objective=-275578.96875 | dual_grad_norm=4676.8037109375 | reg_penalty=441.97198486328125 | dual_val_times_grad=-285.4201965332031 | max_pos_slack=52.4843635559082 | sum_pos_slack=1557.444580078125
iter=120 | dual_objective=-275602.96875 | dual_grad_norm=4689.51318359375 | reg_penalty=443.51904296875 | dual_val_times_grad=1260.4356689453125 | max_pos_slack=256.8475341796875 | sum_pos_slack=1808.7161865234375
