Matching Log
------------
iter=97   dual_objective=-681153.5625   dual_grad_norm=4784.4580078125   reg_penalty=2824.757568359375   dual_val_times_grad=3881.498779296875   max_pos_slack=222.5447998046875   sum_pos_slack=44653.65625
iter=98   dual_objective=-681089.3125   dual_grad_norm=4781.681640625   reg_penalty=2839.570068359375   dual_val_times_grad=3927.02978515625   max_pos_slack=215.04306030273438   sum_pos_slack=44452.8671875
iter=99   dual_objective=-681025.125   dual_grad_norm=4778.96142578125   reg_penalty=2854.320068359375   dual_val_times_grad=3972.562744140625   max_pos_slack=210.94488525390625   sum_pos_slack=44254.6484375
iter=100   dual_objective=-680960.875   dual_grad_norm=4776.298828125   reg_penalty=2869.023193359375   dual_val_times_grad=4018.129150390625   max_pos_slack=210.23049926757812   sum_pos_slack=44059.51171875
iter=101   dual_objective=-680896.3125   dual_grad_norm=4773.68310546875   reg_penalty=2883.651611328125   dual_val_times_grad=4063.624755859375   max_pos_slack=209.3264923095703   sum_pos_slack=43866.41015625
iter=102   dual_objective=-680831.875   dual_grad_norm=4771.09716796875   reg_penalty=2898.18359375   dual_val_times_grad=4108.91943359375   max_pos_slack=207.76644897460938   sum_pos_slack=43675.16796875
iter=103   dual_objective=-680767.8125   dual_grad_norm=4768.572265625   reg_penalty=2912.662109375   dual_val_times_grad=4154.3173828125   max_pos_slack=206.122802734375   sum_pos_slack=43485.81640625
iter=104   dual_objective=-680703.375   dual_grad_norm=4766.11328125   reg_penalty=2927.079833984375   dual_val_times_grad=4199.91796875   max_pos_slack=204.49179077148438   sum_pos_slack=43298.1953125
iter=105   dual_objective=-680639.0   dual_grad_norm=4763.71533203125   reg_penalty=2941.43603515625   dual_val_times_grad=4245.6943359375   max_pos_slack=202.68740844726562   sum_pos_slack=43113.8046875
iter=106   dual_objective=-680574.375   dual_grad_norm=4761.3779296875   reg_penalty=2955.739990234375   dual_val_times_grad=4291.67919921875   max_pos_slack=200.76467895507812   sum_pos_slack=42931.7734375
iter=107   dual_objective=-680509.875   dual_grad_norm=4759.10400390625   reg_penalty=2969.979736328125   dual_val_times_grad=4338.0068359375   max_pos_slack=198.67881774902344   sum_pos_slack=42751.51953125
iter=108   dual_objective=-680445.25   dual_grad_norm=4756.89013671875   reg_penalty=2984.150146484375   dual_val_times_grad=4384.67138671875   max_pos_slack=196.43821716308594   sum_pos_slack=42573.3984375
iter=109   dual_objective=-680380.5625   dual_grad_norm=4754.73388671875   reg_penalty=2998.23388671875   dual_val_times_grad=4431.67626953125   max_pos_slack=194.08338928222656   sum_pos_slack=42397.4140625
iter=110   dual_objective=-680315.9375   dual_grad_norm=4752.62890625   reg_penalty=3012.240966796875   dual_val_times_grad=4478.96142578125   max_pos_slack=191.61526489257812   sum_pos_slack=42223.7578125
iter=111   dual_objective=-680251.0   dual_grad_norm=4750.57470703125   reg_penalty=3026.172607421875   dual_val_times_grad=4526.5654296875   max_pos_slack=189.05091857910156   sum_pos_slack=42052.046875
iter=112   dual_objective=-680185.875   dual_grad_norm=4748.568359375   reg_penalty=3040.03564453125   dual_val_times_grad=4574.47900390625   max_pos_slack=186.38290405273438   sum_pos_slack=41882.3984375
iter=113   dual_objective=-680120.8125   dual_grad_norm=4746.60986328125   reg_penalty=3053.80615234375   dual_val_times_grad=4622.71923828125   max_pos_slack=183.63050842285156   sum_pos_slack=41715.07421875
iter=114   dual_objective=-680055.8125   dual_grad_norm=4744.697265625   reg_penalty=3067.488525390625   dual_val_times_grad=4671.2900390625   max_pos_slack=180.9122772216797   sum_pos_slack=41549.9375
iter=115   dual_objective=-679990.25   dual_grad_norm=4742.828125   reg_penalty=3081.048583984375   dual_val_times_grad=4720.2861328125   max_pos_slack=178.19757080078125   sum_pos_slack=41386.921875
iter=116   dual_objective=-679925.25   dual_grad_norm=4740.97509765625   reg_penalty=3094.5029296875   dual_val_times_grad=4769.34326171875   max_pos_slack=175.40708923339844   sum_pos_slack=41225.05078125
iter=117   dual_objective=-679859.75   dual_grad_norm=4739.14990234375   reg_penalty=3107.8818359375   dual_val_times_grad=4818.54443359375   max_pos_slack=172.5411834716797   sum_pos_slack=41064.76953125
iter=118   dual_objective=-679794.25   dual_grad_norm=4737.3330078125   reg_penalty=3121.0927734375   dual_val_times_grad=4867.7158203125   max_pos_slack=169.68702697753906   sum_pos_slack=40905.640625
iter=119   dual_objective=-679728.625   dual_grad_norm=4735.54296875   reg_penalty=3134.175537109375   dual_val_times_grad=4917.072265625   max_pos_slack=166.8372039794922   sum_pos_slack=40748.01171875
iter=120   dual_objective=-679662.6875   dual_grad_norm=4733.78515625   reg_penalty=3147.197998046875   dual_val_times_grad=4966.64111328125   max_pos_slack=164.000244140625   sum_pos_slack=40592.0
iter=121   dual_objective=-679597.125   dual_grad_norm=4732.0576171875   reg_penalty=3160.14013671875   dual_val_times_grad=5016.4033203125   max_pos_slack=161.2010498046875   sum_pos_slack=40437.62890625
iter=122   dual_objective=-679530.875   dual_grad_norm=4730.35546875   reg_penalty=3172.976806640625   dual_val_times_grad=5066.30322265625   max_pos_slack=158.41494750976562   sum_pos_slack=40284.7734375
iter=123   dual_objective=-679464.8125   dual_grad_norm=4728.669921875   reg_penalty=3185.69970703125   dual_val_times_grad=5116.2451171875   max_pos_slack=155.7410125732422   sum_pos_slack=40133.28125
iter=124   dual_objective=-679398.9375   dual_grad_norm=4727.0048828125   reg_penalty=3198.337646484375   dual_val_times_grad=5166.2646484375   max_pos_slack=153.03036499023438   sum_pos_slack=39983.2890625
iter=125   dual_objective=-679332.5   dual_grad_norm=4725.36865234375   reg_penalty=3210.879150390625   dual_val_times_grad=5216.48095703125   max_pos_slack=150.8183135986328   sum_pos_slack=39834.6015625
iter=126   dual_objective=-679265.9375   dual_grad_norm=4723.75830078125   reg_penalty=3223.319091796875   dual_val_times_grad=5266.90087890625   max_pos_slack=149.78318786621094   sum_pos_slack=39687.68359375
iter=127   dual_objective=-679199.4375   dual_grad_norm=4722.1748046875   reg_penalty=3235.685302734375   dual_val_times_grad=5317.505859375   max_pos_slack=148.72528076171875   sum_pos_slack=39542.59375
iter=128   dual_objective=-679132.8125   dual_grad_norm=4720.6064453125   reg_penalty=3247.953857421875   dual_val_times_grad=5368.1494140625   max_pos_slack=147.6349334716797   sum_pos_slack=39399.0078125
iter=129   dual_objective=-679066.0625   dual_grad_norm=4719.03955078125   reg_penalty=3260.0908203125   dual_val_times_grad=5418.6328125   max_pos_slack=146.50921630859375   sum_pos_slack=39256.359375
iter=130   dual_objective=-678999.25   dual_grad_norm=4717.494140625   reg_penalty=3272.148193359375   dual_val_times_grad=5469.1884765625   max_pos_slack=145.35809326171875   sum_pos_slack=39115.15625
iter=131   dual_objective=-678932.3125   dual_grad_norm=4715.96875   reg_penalty=3284.11962890625   dual_val_times_grad=5519.84033203125   max_pos_slack=144.1909942626953   sum_pos_slack=38975.59375
iter=132   dual_objective=-678865.0625   dual_grad_norm=4714.46240234375   reg_penalty=3296.00390625   dual_val_times_grad=5570.56494140625   max_pos_slack=142.95199584960938   sum_pos_slack=38837.5234375
iter=133   dual_objective=-678797.9375   dual_grad_norm=4712.97705078125   reg_penalty=3307.826904296875   dual_val_times_grad=5621.41357421875   max_pos_slack=141.6968994140625   sum_pos_slack=38700.90234375
iter=134   dual_objective=-678730.875   dual_grad_norm=4711.51171875   reg_penalty=3319.572998046875   dual_val_times_grad=5672.32470703125   max_pos_slack=140.41859436035156   sum_pos_slack=38565.98046875
iter=135   dual_objective=-678663.375   dual_grad_norm=4710.06396484375   reg_penalty=3331.262939453125   dual_val_times_grad=5723.2802734375   max_pos_slack=139.12606811523438   sum_pos_slack=38432.80078125
iter=136   dual_objective=-678595.6875   dual_grad_norm=4708.62890625   reg_penalty=3342.871826171875   dual_val_times_grad=5774.21142578125   max_pos_slack=137.83177185058594   sum_pos_slack=38301.0546875
iter=137   dual_objective=-678528.125   dual_grad_norm=4707.21533203125   reg_penalty=3354.404296875   dual_val_times_grad=5825.27099609375   max_pos_slack=136.53916931152344   sum_pos_slack=38170.74609375
iter=138   dual_objective=-678460.3125   dual_grad_norm=4705.82177734375   reg_penalty=3365.889404296875   dual_val_times_grad=5876.435546875   max_pos_slack=135.23541259765625   sum_pos_slack=38041.765625
iter=139   dual_objective=-678392.6875   dual_grad_norm=4704.4453125   reg_penalty=3377.31884765625   dual_val_times_grad=5927.64404296875   max_pos_slack=133.94960021972656   sum_pos_slack=37913.95703125
iter=140   dual_objective=-678324.75   dual_grad_norm=4703.087890625   reg_penalty=3388.690673828125   dual_val_times_grad=5978.95361328125   max_pos_slack=132.72607421875   sum_pos_slack=37787.625
iter=141   dual_objective=-678256.5   dual_grad_norm=4701.74658203125   reg_penalty=3399.977783203125   dual_val_times_grad=6030.326171875   max_pos_slack=131.4938507080078   sum_pos_slack=37662.484375
